,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
48,프리메라 오가니언스 워터리 에센스 미스트 100ml,100.0,20000.0,200.0,"정제수,프로판다이올,부틸렌글라이콜,글리세린,1&2-헥산다이올,피피지-13-데실테트라데세스-24,글리세릴카프릴레이트,다이소듐이디티에이,에틸헥실글리세린,덱스트린,카카오추출물,에탄올,하이알루로닉애씨드,황금추출물,낫토검,약모밀추출물,글루코노락톤,사철쑥추출물,토코페롤",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017088119ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170881&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
49,시드물 비 테라피 미스트 120ml,120.0,15800.0,131.67,"정제수,부틸렌글라이콜,에탄올,트레할로오스,글리세린,사이클로펜타실록세인,사이클로헥사실록세인,벌독,모란뿌리추출물,황금추출물,폴리글리세릴-10올리에이트,녹차추출물,병풀추출물,약모밀추출물,아젤라마이드엠이에이,알란토인,알로에베라잎추출물,쇠비름추출물,참당귀뿌리추출물,천궁뿌리추출물,쑥잎추출물,고본뿌리추출물,감나무잎추출물,뽕나무껍질추출물,보검선인장열매추출물,구기자추출물,유향나무오일,다이포타슘글리시리제이트,1&2-헥산다이올",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001435714ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014357&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
50,쏘내추럴 올 데이 메이크업 픽서 더블기획,240.0,42000.0,175.0,"정제수,폴리에스터-5,변성알코올,하이드롤라이즈드밀단백질,소듐하이알루로네이트,레몬추출물,서양톱풀추출물,아르니카몬타나꽃추출물,쓴쑥추출물,겐티아나뿌리추출물,티트리잎추출물,병풀추출물,프로판다이올,폴리글리세릴-2올리에이트,피이지-60하이드로제네이티드캐스터오일,옥틸도데세스-16,에틸헥실글리세린,판테놀,에탄올,페녹시에탄올,소듐벤조에이트,포타슘솔베이트,향료,리모넨",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001496003ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014960&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
51,쌍빠 어딕트 글로우 매직에센스 100ml,100.0,19000.0,190.0,"비타민나무수,다이프로필렌글라이콜,글리세린,부틸렌글라이콜,1&2-헥산다이올,나이아신아마이드,카프릴릭/카프릭트라이글리세라이드,아이소헥사데칸,메틸프로판다이올,사이클로펜타실록세인,펜틸렌글라이콜,참마뿌리추출물,비타민나무열매추출물,진주추출물,로얄젤리추출물,프로폴리스추출물,다마스크장미꽃추출물,당아욱잎추출물,레몬밤잎추출물,레몬버베나잎추출물,로즈마리잎추출물,마시멜로잎추출물,마조람잎추출물,바오밥나무씨추출물,보리지추출물,살비아잎추출물,센티드제라늄추출물,오레가노잎추출물,월계수잎추출물,유칼립투스잎추출물,인카르나타시계꽃전초추출물,자주천인국추출물,캐모마일꽃추출물,콘민트잎추출물,포트마리골드꽃추출물,회향잎추출물,서양산딸기잎추출물,녹차수,오일팜오일,비타민나무오일,호호바씨오일,소듐클로라이드,해바라기씨오일불검화물,카프릴릴/카프릴글루코사이드,폴리쿼터늄-51,글라이코실트레할로오스,아데노신,하이드로제네이티드스타치하이드롤리세이트,다이소듐이디티에이,라피노오스,바이오사카라이드검-1,레시틴,말토덱스트린,향료,에틸헥실글리세린,시트로넬올,제라니올,리날룰",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017208401ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000172084&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
52,케어존 닥터솔루션 아큐어 트러블 진정 미스트 170ml,170.0,15000.0,88.24,"정제수,메칠프로판디올,변성알코올,1&2-헥산다이올,사이클로메치콘,글리세린,피이지-150,연꽃추출물,연꽃뿌리추출물,판테놀,피이지-40하이드로제네이티드캐스터오일,하이드로제네이티드레시틴,트리소듐이디티에이,디메치콘/비닐디메치콘크로스폴리머,에탄올,비스-에칠헥실옥시페놀에톡시페닐트리아진,폴리메칠메타크릴레이트,시트릭애씨드,소듐시트레이트,아미노메칠프로판올,라임오일,로즈마리잎오일,레몬껍질오일,베르가모트열매오일,오렌지껍질오일,멕시칸주니퍼오일,센티드제라늄꽃오일,시트랄,시트로넬올,제라니올,리모넨,리날룰",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017682801ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176828&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
53,에스테덤 셀룰러 워터 미스트 100ml,100.0,31000.0,310.0,"정제수,프로판다이올,소듐시트레이트,소듐클로라이드,하이드롤라이즈드하이알루로닉애씨드,시트릭애씨드,아미노에탄설피닉애씨드,카르노신,포타슘클로라이드,소듐바이카보네이트,다이소듐포스페이트,마그네슘설페이트,포타슘포스페이트,칼슘클로라이드",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016211402ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162114&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
54,쏘내추럴 리얼 매트 메이크업 세팅 픽서 75ml,75.0,19000.0,253.33,"정제수,변성알코올,폴리에스터-5,카라기난추출물,사탕수수추출물,하이드롤라이즈드밀단백질,동백오일,스위트아몬드오일,로즈힙열매오일,해수,레몬추출물,병풀잎추출물,폴리글리세릴-2올리에이트,피이지-60하이드로제네이티드캐스터오일,세테아레스-12,글리세린,글리세릴스테아레이트,옥틸도데세스-16,세테아레스-20,세테아릴이소노나노에이트,세틸팔미테이트,에칠헥실글리세린,트레할로스,판테놀,부틸렌글라이콜,1&2-헥산다이올,하이알루로닉애씨드,아스코빅애씨드,바이오틴,사이아노코발라민,폴릭애씨드,나이아신아마이드,판토테닉애씨드,피리독신,리보플라빈,티아민에이치씨엘,하이드롤라이즈드하이알루로닉애씨드,바이오플라보노이드,메나디온,레티놀,토코페롤,소듐하이알루로네이트,세테아릴알코올,페녹시에탄올,소듐벤조에이트,향료",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0010/A00000010707606ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000107076&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
55,MAC 프렙+프라임 픽스 플러스,100.0,41000.0,410.0,"정제수,글리세린,부틸렌글라이콜,오이추출물,캐모마일추출물,녹차추출물,토코페릴아세테이트,카페인,판테놀,알지닌,피이지-40하이드로제네이티드캐스터오일,피피지-26-부테스-26,향료,디소듐이디티에이,페녹시에탄올,제공된성분은동일제품이라도경우에따라변경될수있습니다.최신정보는제품포장의성분을참고하시거나본사고객관리지원팀으로연락부탁드립니다.",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011224204ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000112242&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
56,휘게 릴리프 캐모마일 미스트 100ml,100.0,17500.0,175.0,"정제수,마트리카리아꽃추출물,프로판다이올,다이프로필렌글라이콜,베타인,소듐구아이아줄렌설포네이트,마데카식애씨드,아시아티코사이드,아시아틱애씨드,시트릭애씨드,녹차추출물,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,다이포타슘글리시리제이트,병풀추출물,쇠비름추출물,마데카소사이드,토코페롤,트레할로오스,알란토인,부틸렌글라이콜,하이드록시아세토페논,1&2-헥산다이올,카프릴릴글라이콜,에틸헥실글리세린,다이소듐이디티에이",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014988013ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149880&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
57,엠도씨 울트라 수분 미스트 80ml,80.0,23000.0,287.5,"정제수,글리세린,나이아신아마이드,펜틸렌글라이콜,병풀추출물,무화과추출물,당느릅나무뿌리추출물,줄맨드라미씨추출물,하이드로제네이티드레시틴,부틸렌글라이콜,소듐시트레이트,아데노신,시트릭애씨드,다이소듐이디티에이,세라마이드엔피,피이지-60하이드로제네이티드캐스터오일,향료,페녹시에탄올,에틸헥실글리세린,1&2-헥산다이올",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013214805ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000132148&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
58,유세린 하이알루론 미스트 스프레이 50ml,50.0,9000.0,180.0,"정제수,부틸렌글라이콜,글리세린,페녹시에탄올,1&2-헥산다이올,판테놀,글리세릴글루코사이드,알지닌에이치씨엘,소듐시트레이트,시트릭애씨드,트라이소듐이디티에이,소듐하이알루로네이트,소듐하이드록사이드,판토락톤",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0012/A00000012350001ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000123500&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
59,피지오겔 DMT 페이셜 미스트 100ml,100.0,20000.0,200.0,"정제수,프로판다이올,글리세린,1,2-헥산다이을,다이메티콘,소듐시트레이,트,부틸렌글라이콜,베타인,하이드로제네이티드레시틴,솔비톨,솔비탄세스쿠올리,에이트,시트릭애씨드,폴리글리세릴-10스테아레이트,다이소듐이디티에이,물리,글리세릴-10올리에이트,하이알루로닉애씨드,판테놀,세린,소듐피씨에이,하이드,록시에틸우레아,알지닌",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014906502ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149065&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
60,한율 어린쑥수분진정미스트 150ml,150.0,27000.0,180.0,"정제수,프로판다이올,부틸렌글라이콜,황해쑥잎수,펜틸렌글라이콜,천궁수,왜당귀뿌리수,판테놀,카프릴릭/카프릭트라이글리세라이드,피피지-13-데실테트라데세스-24,글리세릴카프릴레이트,다이소듐이디티에이,에틸헥실글리세린,향료,1&2-헥산다이올,하이알루로닉애씨드,황해쑥잎오일,토코페롤",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013716302ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137163&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
61,아벤느 오떼르말 더블 기획,100.0,13000.0,130.0,아벤느온천수,mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014266104ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000142661&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
62,쏘내추럴 비건 메이크업 캄 픽서 100ml,100.0,22000.0,220.0,"병풀추출물,에탄올,폴리에스터-5,트라이에틸시트레이트,정제수,연필향나무오일,피마자씨오일,접시꽃추출물,발삼코파이바수지,광곽향오일,향기제비꽃잎추출물,캐모마일꽃오일,약모밀추출물,노니열매추출물,노니씨오일,프로판다이올,폴리글리세릴-2올리에이트,부틸렌글라이콜,1&2-헥산다이올,다이포타슘글리시리제이트,소듐시트레이트,에틸헥실글리세린,시트릭애씨드,판테놀,글리세린,페녹시에탄올,소듐벤조에이트",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014890001ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148900&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
63,유세린 하이알루론 미스트 스프레이 150ml,150.0,19000.0,126.67,"정제수,부틸렌글라이콜,글리세린,페녹시에탄올,1&2-헥산다이올,판테놀,글리세릴글루코사이드,알지닌에이치씨엘,소듐시트레이트,시트릭애씨드,트라이소듐이디티에이,소듐하이알루로네이트,소듐하이드록사이드,판토락톤",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013861404ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000138614&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
64,프리메라 알파인 베리 워터리 크림 미스트 120ml,120.0,25000.0,208.33,"정제수,글리세린,브틸렌글라이콜,카프릴릭/카프릭트라이글리세라이드,하이드로제네이티드폴리,다이메티콘,세틸에틸헥사노에이트,하이드록시프로필비스라우라마이드엠이에이,1&2-헥산다이올,소듐서팩틴,콜레스테롤,다이포타슘글리시리제이트,글리세릴카프릴레이트,다이소듐이디티에이,에틸헥실글리세린,판테놀,마데카소사이드,베헤닉애씨드,피토스테롤,서양산딸기추출물,야생딸기잎추출물,토코페롤",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0012/A00000012207607ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000122076&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
65,체리 블라썸 페이스 미스트 50ml,50.0,21000.0,420.0,"정제수,글리세린,피이지-40하이드로제네이티드캐스터오일,솔비톨,신양벚나무꽃추출물,레불리닉애씨드,자일리틸글루코사이드,안하이드로자일리톨,소듐레불리네이트,자일리톨,소듐벤조에이트,포타슘솔베이트,향료,리모넨,리날룰,알파-아이소메틸아이오논",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015260004ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152600&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
66,세렌디뷰티 씨워터 알게 세럼 미스트 75ml,75.0,21000.0,280.0,"개청각추출물,감태추출물,우뭇가사리추출물,톳추출물,아쿠아마린추출물,모나커스/콩발효추출물,바실러스,알란토인,",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016131902ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161319&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
67,자트인사이트 울트라 셋팅 진짜 픽서 50ml,50.0,14900.0,298.0,"정제수,변성알코올,부틸렌글라이콜,폴리에스터-5,다이에톡시에틸석시네이트,1&2-헥산다이올,판테놀,피이지-40하이드로제네이티드캐스터오일,카프릴릴글라이콜,육틸도대세스-16,스타아니스추출물,다이소듐이디티에이,병풀추출물,호장근뿌리추출물,황금추출물,녹차추출물,스페인감초뿌리추출물,녹두씨추출물,석류추출물,마트리카리아꽃추출물,로즈마리잎추출물,클로페네신,제라니올,리날룰,부틸페닐메칠프로피오날,벤질벤조에이트,헥실신남알",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016053208ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160532&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
68,닥터자르트 세라마이딘 크림 미스트 110ml,110.0,26000.0,236.36,"정제수,트라이에틸헥사노인,메틸프로판다이올,하이드로제네이티드폴리,다이프로필렌글라이콜,1&2-헥산다이올,버지니아풍년화추출물,당느릅나무뿌리추출물,줄맨드라미씨추출물,돌꽃추출물,하이드로제네이티드레시틴,오일팜오일,베르가모트오일,센티드제라늄꽃오일,살비아오일,광곽향오일,부틸렌글라이콜,폴리글리세릴-10미리스테이트,트레할로오스,자일리틸글루코사이드,셀룰로오스검,안하이드로자일리톨,자일리톨,세라마이드엔피,수크로오스다이스테아레이트,글리세릴스테아레이트,세라마이드에이에스,세라마이드에이피,세라마이드엔에스,콜레스테롤,세라마이드이오피,에틸헥실글리세린,시트로넬올,제라니올,리날룰,제공된성분은동일제품이라도경우에따라변경될수있습니다.최신정보는제품포장의성분을참고하시거나닥터자르트고객만족센터으로연락부탁드립니다.",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011911203ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000119112&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
69,로이비 하이드라 부스트 듀얼 페이즈 미스트 100ml,100.0,39000.0,390.0,"해수,사이클로메티콘,글리세린,폴리글리세릴-3메틸글루코오스다이스테아레이트,하이드로제네이티드폴리,코코-카프릴레이트/카프레이트,세테아릴알코올,정제수,1&2-헥산다이올,다이메티콘올,폴리솔베이트20,글리세릴스테아레이트,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,카보머,트로메타민,폴리아이소부텐,에틸헥실글리세린,다이소듐이디티에이,솔비탄올리에이트,카프릴릴/카프릴글루코사이드,오렌지껍질오일,편백수,사카라이드아이소머레이트,소듐하이알루로네이트,베르가모트오일,부틸렌글라이콜,일랑일랑꽃오일,광곽향오일,센티드제라늄꽃오일,라반딘오일,레몬추출물,소듐시트레이트,시트릭애씨드,폴리글루타믹애씨드,펜틸렌글라이콜,카프릴릴글라이콜,하이드록시프로필트라이모늄하이알루로네이트,프로판다이올,소듐아세틸레이티드하이알루로네이트,멕시칸치아씨추출물,하이드롤라이즈드하이알루로닉애씨드,약모밀추출물,병풀추출물,하이알루로닉애씨드,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드소듐하이알루로네이트,포타슘하이알루로네이트,리모넨,벤질벤조에이트,리날룰,벤질살리실레이트,시트로넬올",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015773701ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157737&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
70,아벤느 오떼르말 300ml 2입 기획,600.0,34000.0,56.67,온천수,mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011295911ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000112959&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
71,,,,,,,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011891402ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000118914&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
72,,,,,,,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015665003ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156650&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
73,,,,,,,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018112002ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181120&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
